No.,Recipe Name,Protein (g),Carbs (g),Fat (g),Total Calories,Serving Size,Time of Day,Preparation Instructions,Veg / Non-veg
170,Spinach & Feta Stuffed Peppers,15,30,5,250,1 pepper,Dinner,"Stuff bell peppers with spinach and feta, bake until tender.",Veg
171,Grilled Chicken & Quinoa Bowl,30,35,10,400,1 bowl,Lunch,Serve grilled chicken over quinoa with mixed vegetables.,Non-Veg
172,Vegetable & Lentil Salad,18,30,5,250,1 bowl,Lunch,Mix lentils with diced vegetables and a lemon vinaigrette.,Veg
173,Baked Chicken Parmesan,30,20,10,350,1 serving,Dinner,Bake chicken with marinara sauce and mozzarella until bubbly.,Non-Veg
174,Quinoa & Spinach Salad,12,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with spinach, cherry tomatoes, and a lemon dressing.",Veg
175,Chicken & Vegetable Soup,25,30,5,250,1 bowl,Dinner,Simmer chicken and vegetables in broth until cooked through.,Non-Veg
176,Shrimp & Vegetable Skewers,25,10,5,200,2 skewers,Dinner,"Grill shrimp and vegetables on skewers, serve with a dipping sauce.",Non-Veg
177,Eggplant & Chickpea Salad,10,30,10,300,1 bowl,Lunch,"Mix roasted eggplant with chickpeas, tahini, and lemon juice.",Non-Veg
178,Chicken & Quinoa Stir-Fry,30,30,10,350,1 bowl,Dinner,Stir-fry chicken with quinoa and mixed vegetables.,Non-Veg
179,Spinach & Mushroom Stuffed Shells,15,40,10,400,3 shells,Dinner,"Fill pasta shells with spinach and mushrooms, cover with marinara, and bake.",Veg
180,Grilled Chicken & Vegetable Salad,30,10,10,350,1 bowl,Lunch,Toss grilled chicken with mixed greens and grilled vegetables.,Non-Veg
181,Lentil & Vegetable Curry,18,30,5,250,1 bowl,Dinner,Cook lentils with mixed vegetables in coconut milk and curry spices.,Veg
182,Chicken & Avocado Quesadilla,25,30,10,350,1 quesadilla,Lunch,"Fill a tortilla with chicken and avocado, cook until golden.",Non-Veg
183,Roasted Brussels Sprouts & Bacon,5,15,10,150,1 cup,Side,Roast Brussels sprouts with bacon until crispy.,Veg
184,Quinoa & Roasted Vegetable Salad,12,40,5,300,1 bowl,Lunch,Toss quinoa with roasted vegetables and a lemon vinaigrette.,Veg
185,Chicken & Sweet Potato Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken, sweet potatoes, and vegetables in a casserole dish, bake until bubbly.",Non-Veg
186,Spinach & Feta Stuffed Chicken Thighs,25,5,10,300,1 thigh,Dinner,"Stuff chicken thighs with spinach and feta, bake until cooked through.",Non-Veg
187,Shrimp & Vegetable Pasta,25,30,10,350,1 bowl,Dinner,Toss cooked pasta with shrimp and mixed vegetables in garlic sauce.,Non-Veg
188,Chicken & Lentil Curry,30,20,10,350,1 bowl,Dinner,Cook chicken with lentils and curry spices in coconut milk.,Non-Veg
189,Grilled Vegetable & Hummus Wrap,10,30,5,200,1 wrap,Lunch,"Fill a tortilla with grilled vegetables and hummus, roll tightly.",Veg
190,Egg & Cheese Breakfast Bowl,20,30,10,300,1 bowl,Breakfast,"Top a bowl with scrambled eggs, cheese, and salsa.",Non-Veg
191,Chicken & Quinoa Salad Bowl,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, black beans, and corn.",Non-Veg
192,Roasted Cauliflower & Chickpea Salad,10,30,5,200,1 bowl,Lunch,"Toss roasted cauliflower with chickpeas, tahini, and lemon juice.",Veg
193,Turkey & Vegetable Stir-Fry,25,20,10,350,1 bowl,Dinner,Stir-fry ground turkey with mixed vegetables and soy sauce.,Non-Veg
194,Spinach & Cheese Stuffed Zucchini,15,20,10,250,1 zucchini,Dinner,"Stuff zucchini halves with spinach and cheese, bake until tender.",Veg
195,Chicken & Vegetable Frittata,30,10,15,350,1 slice,Breakfast,Bake eggs with chicken and mixed vegetables until set.,Non-Veg
196,Quinoa & Black Bean Salad,15,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with black beans, corn, and lime dressing.",Veg
197,Shrimp & Grits Bowl,25,40,15,450,1 bowl,Dinner,"Cook shrimp in a spicy sauce, serve over creamy grits.",Non-Veg
198,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and teriyaki sauce, serve over rice.",Non-Veg
199,Spinach & Feta Stuffed Portobello Mushrooms,15,5,10,200,1 mushroom,Dinner,"Stuff portobello mushrooms with spinach and feta, bake until tender.",Veg
200,Grilled Chicken & Quinoa Salad,30,35,10,400,1 bowl,Lunch,"Toss grilled chicken with quinoa, mixed greens, and a lemon vinaigrette.",Non-Veg
201,Grilled Chicken & Avocado Salad,30,10,15,350,1 bowl,Lunch,"Toss grilled chicken with avocado, mixed greens, and a lime vinaigrette.",Non-Veg
202,Quinoa & Roasted Vegetable Bowl,12,40,5,300,1 bowl,Lunch,Mix cooked quinoa with roasted vegetables and a drizzle of balsamic glaze.,Veg
203,Spicy Black Bean Tacos,15,30,5,250,2 tacos,Dinner,"Fill corn tortillas with spiced black beans, avocado, and salsa.",Veg
204,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and soy sauce, serve over rice.",Non-Veg
205,Lentil & Sweet Potato Salad,18,30,5,250,1 bowl,Lunch,Toss cooked lentils with roasted sweet potatoes and a light dressing.,Veg
206,Egg & Veggie Breakfast Muffins,20,10,10,200,2 muffins,Breakfast,"Mix eggs with diced vegetables, pour into muffin tins, and bake until set.",Non-Veg
207,Grilled Salmon & Quinoa Salad,35,30,10,400,1 bowl,Lunch,"Toss grilled salmon with quinoa, spinach, and a lemon vinaigrette.",Veg
208,Chickpea & Spinach Stew,15,30,5,250,1 bowl,Dinner,Simmer chickpeas and spinach in a spiced tomato sauce.,Veg
209,Turkey & Vegetable Chili,30,20,10,350,1 bowl,Dinner,"Cook ground turkey with beans, tomatoes, and spices until thickened.",Non-Veg
210,Cauliflower Fried Rice,10,20,5,150,1 bowl,Dinner,Saute riced cauliflower with mixed vegetables and soy sauce.,Veg
211,Spinach & Feta Stuffed Chicken,25,5,10,300,1 breast,Dinner,"Stuff chicken breast with spinach and feta, bake until cooked through.",Non-Veg
212,Grilled Vegetable & Hummus Wrap,10,30,5,200,1 wrap,Lunch,"Fill a tortilla with grilled vegetables and hummus, roll tightly.",Veg
213,Chicken & Quinoa Stuffed Peppers,30,35,10,400,1 pepper,Dinner,"Stuff bell peppers with chicken and quinoa, bake until tender.",Non-Veg
214,Shrimp & Avocado Salad,25,10,15,300,1 bowl,Lunch,"Toss shrimp with avocado, mixed greens, and lime dressing.",Non-Veg
215,Baked Sweet Potato Fries,5,30,5,150,1 serving,Snack,"Cut sweet potatoes into fries, season, and bake until crispy.",Veg
216,Quinoa & Spinach Stuffed Zucchini,12,20,5,200,1 zucchini,Dinner,"Stuff zucchini halves with quinoa and spinach, bake until tender.",Veg
217,Chicken & Lentil Soup,25,30,5,250,1 bowl,Dinner,"Simmer chicken, lentils, and vegetables in broth until cooked.",Non-Veg
218,Grilled Eggplant & Tomato Salad,10,15,5,150,1 bowl,Lunch,"Toss grilled eggplant with tomatoes, basil, and balsamic vinegar.",Non-Veg
220,Spinach & Mushroom Quiche,15,20,10,250,1 slice,Breakfast,Bake eggs with spinach and mushrooms in a pie crust until set.,Veg
221,Shrimp & Broccoli Alfredo,25,30,15,400,1 bowl,Dinner,"Cook shrimp with broccoli in a creamy Alfredo sauce, serve over pasta.",Non-Veg
222,Quinoa & Chickpea Salad,15,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with chickpeas, cucumbers, and a lemon dressing.",Veg
223,Chicken & Vegetable Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken and mixed vegetables in a casserole dish, bake until bubbly.",Non-Veg
224,Baked Zucchini & Tomato Casserole,10,20,5,200,1 serving,Dinner,"Layer zucchini and tomatoes, top with cheese, and bake until golden.",Veg
225,Grilled Chicken & Pineapple Salad,30,15,10,350,1 bowl,Lunch,"Toss grilled chicken with pineapple, mixed greens, and a honey dressing.",Non-Veg
226,Lentil & Vegetable Stir-Fry,18,30,5,250,1 bowl,Dinner,"Stir-fry lentils with mixed vegetables and soy sauce, serve over rice.",Veg
227,Egg & Spinach Breakfast Bowl,20,30,10,300,1 bowl,Breakfast,"Top a bowl with scrambled eggs, spinach, and feta cheese.",Non-Veg
228,Chicken & Quinoa Bowl,30,35,10,400,1 bowl,Lunch,Serve grilled chicken over quinoa with roasted vegetables.,Non-Veg
229,Roasted Beet & Goat Cheese Salad,8,15,5,150,1 bowl,Lunch,"Toss roasted beets with goat cheese, walnuts, and arugula.",Veg
230,Shrimp & Vegetable Stir-Fry,25,20,10,350,1 bowl,Dinner,"Stir-fry shrimp with mixed vegetables and garlic, serve over rice.",Non-Veg
231,Chicken & Sweet Potato Salad,30,20,10,350,1 bowl,Lunch,Toss grilled chicken with roasted sweet potatoes and mixed greens.,Non-Veg
232,Quinoa & Black Bean Stuffed Zucchini,15,30,5,250,1 zucchini,Dinner,"Stuff zucchini halves with quinoa and black beans, bake until tender.",Veg
233,Grilled Chicken & Vegetable Kebabs,30,10,10,300,2 skewers,Dinner,"Skewer chicken and vegetables, grill until cooked through.",Non-Veg
234,Spinach & Feta Stuffed Portobello,15,5,10,200,1 mushroom,Dinner,"Stuff portobello mushrooms with spinach and feta, bake until tender.",Veg
235,Chicken & Lentil Salad,30,30,5,250,1 bowl,Lunch,"Mix grilled chicken with lentils, cherry tomatoes, and spinach.",Non-Veg
236,Baked Eggplant Parmesan,10,20,10,250,1 serving,Dinner,"Layer baked eggplant with marinara sauce and mozzarella, bake until bubbly.",Non-Veg
237,Quinoa & Roasted Vegetable Salad,12,40,5,300,1 bowl,Lunch,Toss quinoa with roasted vegetables and a lemon vinaigrette.,Veg
238,Chicken & Vegetable Soup,25,30,5,250,1 bowl,Dinner,Simmer chicken and vegetables in broth until cooked through.,Non-Veg
239,Shrimp & Asparagus Pasta,25,30,10,350,1 bowl,Dinner,Toss cooked pasta with shrimp and asparagus in a garlic sauce.,Non-Veg
240,Spinach & Cheese Stuffed Chicken Thighs,25,5,10,300,1 thigh,Dinner,"Stuff chicken thighs with spinach and cheese, bake until cooked through.",Non-Veg
241,Grilled Vegetable Pasta,12,40,10,350,1 bowl,Dinner,Toss cooked pasta with grilled vegetables and olive oil.,Veg
242,Chicken & Quinoa Salad,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, black beans, and corn.",Non-Veg
243,Roasted Brussels Sprouts & Bacon,5,15,10,150,1 cup,Side,Roast Brussels sprouts with bacon until crispy.,Veg
244,Quinoa & Spinach Stuffed Peppers,12,30,5,250,1 pepper,Dinner,"Stuff bell peppers with quinoa and spinach, bake until tender.",Veg
245,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and teriyaki sauce, serve over rice.",Non-Veg
246,Egg & Veggie Breakfast Burrito,20,30,10,300,1 burrito,Breakfast,"Scramble eggs with mixed vegetables, wrap in a tortilla.",Non-Veg
247,Grilled Chicken Caesar Salad,30,10,15,350,1 bowl,Lunch,"Toss grilled chicken with romaine, Caesar dressing, and parmesan.",Non-Veg
248,Lentil & Vegetable Curry,18,30,5,250,1 bowl,Dinner,Cook lentils with mixed vegetables in coconut milk and curry spices.,Veg
249,Shrimp & Vegetable Fried Rice,25,40,10,400,1 bowl,Dinner,"Stir-fry shrimp with rice, peas, and carrots, season with soy sauce.",Non-Veg
250,Chicken & Sweet Potato Hash,30,40,10,400,1 bowl,Dinner,Saute chicken and sweet potatoes with onions and spices until cooked.,Non-Veg
251,Spinach & Feta Stuffed Chicken Breast,25,5,10,300,1 breast,Dinner,"Stuff chicken breast with spinach and feta, bake until cooked through.",Non-Veg
252,Grilled Chicken & Quinoa Bowl,30,35,10,400,1 bowl,Lunch,Serve grilled chicken over quinoa with mixed vegetables.,Non-Veg
253,Roasted Vegetable Quinoa Salad,12,40,5,300,1 bowl,Lunch,Toss quinoa with roasted vegetables and a lemon dressing.,Veg
254,Chicken & Lentil Soup,25,30,5,250,1 bowl,Dinner,"Simmer chicken, lentils, and vegetables in broth until cooked.",Non-Veg
255,Shrimp & Broccoli Stir-Fry,25,20,10,350,1 bowl,Dinner,"Stir-fry shrimp with broccoli and garlic, serve over rice.",Non-Veg
256,Eggplant & Chickpea Salad,10,30,10,300,1 bowl,Lunch,"Mix roasted eggplant with chickpeas, tahini, and lemon juice.",Non-Veg
257,Chicken & Quinoa Stir-Fry,30,30,10,350,1 bowl,Dinner,Stir-fry chicken with quinoa and mixed vegetables.,Non-Veg
258,Spinach & Mushroom Stuffed Shells,15,40,10,400,3 shells,Dinner,"Fill pasta shells with spinach and mushrooms, cover with marinara, and bake until bubbly.",Veg
259,Grilled Chicken & Vegetable Salad,30,10,10,350,1 bowl,Lunch,Toss grilled chicken with mixed greens and grilled vegetables.,Non-Veg
260,Lentil & Vegetable Curry,18,30,5,250,1 bowl,Dinner,Cook lentils with mixed vegetables in coconut milk and curry spices.,Veg
261,Chicken & Avocado Quesadilla,25,30,10,350,1 quesadilla,Lunch,"Fill a tortilla with chicken and avocado, cook until golden.",Non-Veg
262,Roasted Brussels Sprouts & Bacon,5,15,10,150,1 cup,Side,Roast Brussels sprouts with bacon until crispy.,Veg
263,Quinoa & Roasted Vegetable Salad,12,40,5,300,1 bowl,Lunch,Toss quinoa with roasted vegetables and a lemon vinaigrette.,Veg
264,Chicken & Sweet Potato Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken, sweet potatoes, and vegetables in a casserole dish, bake until bubbly.",Non-Veg
265,Spinach & Feta Stuffed Chicken Thighs,25,5,10,300,1 thigh,Dinner,"Stuff chicken thighs with spinach and feta, bake until cooked through.",Non-Veg
266,Shrimp & Vegetable Pasta,25,30,10,350,1 bowl,Dinner,Toss cooked pasta with shrimp and mixed vegetables in garlic sauce.,Non-Veg
267,Chicken & Lentil Curry,30,20,10,350,1 bowl,Dinner,Cook chicken with lentils and curry spices in coconut milk.,Non-Veg
268,Grilled Vegetable & Hummus Wrap,10,30,5,200,1 wrap,Lunch,"Fill a tortilla with grilled vegetables and hummus, roll tightly.",Veg
269,Egg & Cheese Breakfast Bowl,20,30,10,300,1 bowl,Breakfast,"Top a bowl with scrambled eggs, cheese, and salsa.",Non-Veg
270,Chicken & Quinoa Salad Bowl,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, black beans, and corn.",Non-Veg
271,Roasted Cauliflower & Chickpea Salad,10,30,5,200,1 bowl,Lunch,"Toss roasted cauliflower with chickpeas, tahini, and lemon juice.",Veg
272,Turkey & Vegetable Stir-Fry,25,20,10,350,1 bowl,Dinner,Stir-fry ground turkey with mixed vegetables and soy sauce.,Non-Veg
273,Spinach & Cheese Stuffed Zucchini,15,20,10,250,1 zucchini,Dinner,"Stuff zucchini halves with spinach and cheese, bake until tender.",Veg
274,Chicken & Vegetable Frittata,30,10,15,350,1 slice,Breakfast,Bake eggs with chicken and mixed vegetables until set.,Non-Veg
275,Quinoa & Black Bean Salad,15,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with black beans, corn, and lime dressing.",Veg
276,Shrimp & Grits Bowl,25,40,15,450,1 bowl,Dinner,"Cook shrimp in a spicy sauce, serve over creamy grits.",Non-Veg
277,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and teriyaki sauce, serve over rice.",Non-Veg
278,Spinach & Feta Stuffed Portobello Mushrooms,15,5,10,200,1 mushroom,Dinner,"Stuff portobello mushrooms with spinach and feta, bake until tender",Veg
280,Lentil & Vegetable Curry,18,30,5,250,1 bowl,Dinner,Cook lentils with mixed vegetables in coconut milk and curry spices.,Veg
281,Chicken & Avocado Quesadilla,25,30,10,350,1 quesadilla,Lunch,"Fill a tortilla with chicken and avocado, cook until golden.",Non-Veg
282,Roasted Brussels Sprouts & Bacon,5,15,10,150,1 cup,Side,Roast Brussels sprouts with bacon until crispy.,Veg
283,Quinoa & Roasted Vegetable Salad,12,40,5,300,1 bowl,Lunch,Toss quinoa with roasted vegetables and a lemon vinaigrette.,Veg
284,Chicken & Sweet Potato Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken, sweet potatoes, and vegetables in a casserole dish, bake until bubbly.",Non-Veg
285,Spinach & Feta Stuffed Chicken Thighs,25,5,10,300,1 thigh,Dinner,"Stuff chicken thighs with spinach and feta, bake until cooked through.",Non-Veg
286,Shrimp & Vegetable Pasta,25,30,10,350,1 bowl,Dinner,Toss cooked pasta with shrimp and mixed vegetables in garlic sauce.,Non-Veg
287,Chicken & Lentil Curry,30,20,10,350,1 bowl,Dinner,Cook chicken with lentils and curry spices in coconut milk.,Non-Veg
288,Grilled Vegetable & Hummus Wrap,10,30,5,200,1 wrap,Lunch,"Fill a tortilla with grilled vegetables and hummus, roll tightly.",Veg
289,Egg & Cheese Breakfast Bowl,20,30,10,300,1 bowl,Breakfast,"Top a bowl with scrambled eggs, cheese, and salsa.",Non-Veg
290,Chicken & Quinoa Salad Bowl,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, black beans, and corn.",Non-Veg
291,Roasted Cauliflower & Chickpea Salad,10,30,5,200,1 bowl,Lunch,"Toss roasted cauliflower with chickpeas, tahini, and lemon juice.",Veg
292,Turkey & Vegetable Stir-Fry,25,20,10,350,1 bowl,Dinner,Stir-fry ground turkey with mixed vegetables and soy sauce.,Non-Veg
293,Spinach & Cheese Stuffed Zucchini,15,20,10,250,1 zucchini,Dinner,"Stuff zucchini halves with spinach and cheese, bake until tender.",Veg
294,Chicken & Vegetable Frittata,30,10,15,350,1 slice,Breakfast,Bake eggs with chicken and mixed vegetables until set.,Non-Veg
295,Quinoa & Black Bean Salad,15,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with black beans, corn, and lime dressing.",Veg
296,Shrimp & Grits Bowl,25,40,15,450,1 bowl,Dinner,"Cook shrimp in a spicy sauce, serve over creamy grits.",Non-Veg
297,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and teriyaki sauce, serve over rice.",Non-Veg
298,Spinach & Feta Stuffed Portobello Mushrooms,15,5,10,200,1 mushroom,Dinner,"Stuff portobello mushrooms with spinach and feta , bake until tender.",Veg
299,Grilled Chicken & Quinoa Salad,30,35,10,400,1 bowl,Lunch,"Toss grilled chicken with quinoa, mixed greens, and a lemon vinaigrette.",Non-Veg
300,Lentil & Vegetable Curry,18,30,5,250,1 bowl,Dinner,Cook lentils with mixed vegetables in coconut milk and curry spices.,Veg
301,Banana Oatmeal,8,30,3,200,1 bowl,Breakfast,"Cook oats with water or milk, add sliced banana and a drizzle of honey.",Veg
302,Greek Yogurt with Honey,15,20,5,200,1 cup,Breakfast,Top Greek yogurt with honey and nuts or granola.,Veg
303,Scrambled Eggs with Spinach,20,5,10,200,2 eggs,Breakfast,Scramble eggs with fresh spinach and season with salt and pepper.,Non-Veg
304,Chia Seed Pudding,10,20,5,200,1 cup,Breakfast,"Mix chia seeds with almond milk, refrigerate overnight, and top with fruits.",Veg
305,Avocado Toast,5,30,15,250,1 slice,Breakfast,"Mash avocado on whole grain toast, sprinkle with salt and pepper.",Veg
306,Protein Pancakes,25,30,8,350,3 pancakes,Breakfast,"Mix protein powder, oats, and eggs, cook on skillet until golden.",Veg
307,Smoothie Bowl,10,40,5,250,1 bowl,Breakfast,"Blend fruits with yogurt, pour into a bowl, and top with granola and seeds.",Veg
308,Overnight Chia Oats,10,30,5,250,1 jar,Breakfast,"Mix oats, chia seeds, and almond milk, refrigerate overnight, and add fruits in the morning.",Veg
309,Egg & Veggie Breakfast Wrap,20,30,10,300,1 wrap,Breakfast,"Scramble eggs with mixed vegetables, wrap in a tortilla.",Non-Veg
310,Cottage Cheese & Pineapple,15,20,2,150,1 cup,Breakfast,"Mix cottage cheese with pineapple chunks, serve chilled.",Veg
311,Quinoa Breakfast Bowl,12,35,5,250,1 bowl,Breakfast,"Cook quinoa, top with almond milk, fruits, and nuts.",Veg
312,Peanut Butter Banana Smoothie,10,30,10,250,1 glass,Breakfast,"Blend banana, peanut butter, and almond milk until smooth.",Veg
313,Oatmeal with Berries,10,40,5,250,1 bowl,Breakfast,"Cook oats, top with mixed berries and a drizzle of honey.",Veg
314,Egg White Omelette,20,5,5,150,1 omelette,Breakfast,"Whisk egg whites, add veggies, cook in a skillet until set.",Non-Veg
315,Breakfast Burrito,25,30,10,350,1 burrito,Breakfast,"Fill a tortilla with scrambled eggs, cheese, and salsa, roll tightly.",Veg
316,Almond Butter Toast,8,30,10,250,1 slice,Breakfast,"Spread almond butter on whole grain toast, top with banana slices.",Veg
317,Fruit & Nut Granola,5,40,5,200,1 cup,Breakfast,"Mix oats, nuts, and dried fruits, serve with yogurt or milk.",Veg
318,Savory Oatmeal,10,30,5,200,1 bowl,Breakfast,"Cook oats with broth, top with Sauteed vegetables and a poached egg.",Veg
319,Breakfast Quinoa Bowl,12,35,5,250,1 bowl,Breakfast,"Cook quinoa, top with almond milk, fruits, and a sprinkle of cinnamon.",Veg
320,Spinach & Feta Omelette,20,5,10,200,1 omelette,Breakfast,"Whisk eggs, add spinach and feta, cook in a skillet until set.",Non-Veg
321,Berry Smoothie,10,30,5,200,1 glass,Breakfast,Blend mixed berries with yogurt and a splash of almond milk.,Veg
322,Whole Wheat Pancakes,8,40,5,250,3 pancakes,Breakfast,"Mix whole wheat flour, baking powder, and milk, cook on skillet until golden.",Veg
323,Savory Breakfast Bowl,15,25,10,300,1 bowl,Breakfast,"Combine quinoa, Sauteed vegetables, and a poached egg.",Veg
324,Apple Cinnamon Oatmeal,8,35,3,200,1 bowl,Breakfast,"Cook oats with diced apples and cinnamon, sweeten with honey.",Veg
325,Breakfast Smoothie Bowl,12,40,5,250,1 bowl,Breakfast,"Blend banana, spinach, and almond milk, top with granola and seeds.",Veg
326,Egg & Cheese Breakfast Sandwich,20,30,10,300,1 sandwich,Breakfast,"Fry an egg, place on a whole grain bun with cheese and spinach.",Non-Veg
327,Coconut Chia Pudding,10,20,8,250,1 cup,Breakfast,"Mix chia seeds with coconut milk, refrigerate overnight, and top with mango.",Veg
328,Breakfast Tacos,25,30,10,350,2 tacos,Breakfast,"Fill corn tortillas with scrambled eggs, avocado, and salsa.",Veg
329,Spinach & Mushroom Frittata,20,5,10,200,1 slice,Breakfast,Bake eggs with spinach and mushrooms in a skillet until set.,Veg
330,Overnight Oats with Almonds,10,30,5,250,1 jar,Breakfast,"Combine oats, almond milk, and almonds, refrigerate overnight.",Veg
